id,cnpj,razaoSocial,nomeFantasia,endereco,cidade,estado,cep,telefone,email,logoUrl,site,grupoEmpresarial,isActive,createdAt,updatedAt,prefixoCodigo,nextCodigoInterno,numerosProibidos,deletedAt,deletedBy,deletedByUserId,inscricaoEstadual,inscricaoMunicipal,compartilha_recursos
60002,29.353.906/0001-71,FC ENGENHARIA E CONSTRUCAO LTDA,FC ENGENHARIA PROJETOS E OBRAS,"JUSCELINO KUBITSCHEK DE OLIVEIRA, 1301, SALA 1104",GUARATINGUETA,SP,12505-300,(12) 9144-3486,contato@fcengenharia.com.br,https://d2xsxph8kpxj0f.cloudfront.net/310419663028720190/W4MM458SKqYRWRGGQrfw8A/company-logos/60002-ky8jomx0.jpg,,Construtora,1,2026-02-20 19:35:19,2026-03-05 15:50:15,JFC,199,"13,17,22,24,69,171,666",,,,,,1
60004,47.401.586/0001-60,CF HOTELARIA LTDA,HOTEL CONSAGRADO,"MONTE CARMELO, 164",APARECIDA,SP,12570-025,(12) 3105-5110,contato@hotelconsagrado.com.br,https://d2xsxph8kpxj0f.cloudfront.net/310419663028720190/W4MM458SKqYRWRGGQrfw8A/company-logos/60004-88491vik.jpg,,Hotelaria,1,2026-02-20 19:35:19,2026-03-05 15:50:15,HC,28,"13,17,22,24,69,171,666",,,,,,0
60005,03.426.403/0001-95,JULIO FERRAZ PROJETOS E OBRAS LTDA,JULIO FERRAZ PROJETOS E OBRAS LTDA,"ANGELO PASIN, 47",APARECIDA,SP,12570-000,(12) 9188-9238,contato@julioferraz.com.br,https://d2xsxph8kpxj0f.cloudfront.net/310419663028720190/W4MM458SKqYRWRGGQrfw8A/company-logos/60005-8j80b24l.jpg,,Construtora,1,2026-02-20 19:35:19,2026-03-05 15:50:15,JFP,28,"13,17,22,24,69,171,666",,,,,,1
90001,61.423.062/0001-09,LOCNOW LOCACOES E SERVICOS DE MAQUINAS VEICULOS E EQUIPAMENTOS LTDA,,"LAUDELINO DE FREITAS CASTRO, 235",GUARATINGUETA,SP,12516-190,(12) 9260-6868,,https://d2xsxph8kpxj0f.cloudfront.net/310419663028720190/W4MM458SKqYRWRGGQrfw8A/company-logos/90001-9d8nxsn9.jpg,,Locação,1,2026-02-20 21:49:45,2026-03-05 15:50:15,LN,6,"13,17,22,24,69,171,666",,,,,,0
450042,99.060.711/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 10:20:31,2026-02-24 10:20:31,EMP,3,"13,17,22,24,69,171,666",2026-02-24 10:20:31,,,,,0
450043,99.894.175/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 10:20:44,2026-02-24 10:20:45,EMP,3,"13,17,22,24,69,171,666",2026-02-24 10:20:45,,,,,0
450044,99.219.830/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 10:20:58,2026-02-24 10:20:59,EMP,3,"13,17,22,24,69,171,666",2026-02-24 10:20:59,,,,,0
450045,99.429.427/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 10:21:35,2026-02-24 10:21:36,EMP,3,"13,17,22,24,69,171,666",2026-02-24 10:21:36,,,,,0
450046,99.729.458/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 10:21:57,2026-02-24 10:21:58,EMP,3,"13,17,22,24,69,171,666",2026-02-24 10:21:58,,,,,0
450047,99.477.883/0001-99,Empresa Teste CRUD,Teste CRUD Atualizado,"Rua Teste, 123",São Paulo,SP,01234-567,(11) 3456-7890,teste@crud.com,,,,1,2026-02-24 10:22:11,2026-02-24 10:22:12,EMP,3,"13,17,22,24,69,171,666",2026-02-24 10:22:12,,,,,0
