id,companyId,capacidade,limiar,gargaloItem,gargaloEstoque,destinatariosEnviados,emailsEnviados,emailsErros,enviadoEm
1,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 00:21:23
2,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 00:31:58
3,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 00:32:19
4,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 00:56:24
5,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 00:56:43
6,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 01:38:35
7,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 01:38:55
8,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 01:40:47
9,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 01:48:56
10,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 01:56:50
11,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 02:10:16
12,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 02:45:41
13,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 02:57:42
14,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 03:03:10
15,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 03:05:19
30001,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 08:00:37
30002,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 08:01:06
30003,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 11:36:42
30004,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 13:02:15
30005,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 13:16:16
30006,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-05 13:32:48
60001,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-09 17:06:57
60002,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-09 17:07:27
60003,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-09 17:07:52
60004,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-09 17:08:29
60005,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-09 17:09:12
60006,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-09 20:24:50
60007,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-09 20:26:10
60008,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-09 20:36:08
60009,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-09 20:59:17
60010,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-09 23:56:01
60011,999,0,10,Capacete de Segurança,,"[""teste@email.com""]",1,0,2026-03-10 00:03:43
