id,companyId,epiId,employeeId,quantidade,dataEntrega,dataDevolucao,motivo,observacoes,createdAt,deletedAt,deletedBy,deletedByUserId,motivo_troca,valor_cobrado,ficha_url,foto_estado_url,origem_entrega,obra_id,data_validade,assinatura_url
510004,450011,480001,510001,1,2024-03-15 00:00:00,,,,2026-02-24 10:06:38,,,,,,,,central,,,
510005,450014,480004,510007,1,2024-03-15 00:00:00,,,,2026-02-24 10:08:31,,,,,,,,central,,,
510006,450016,480006,510011,1,2024-03-15 00:00:00,,,,2026-02-24 10:09:52,,,,,,,,central,,,
510009,450031,480021,510041,1,2024-03-15 00:00:00,,,,2026-02-24 10:15:18,,,,,,,,central,,,
510011,450042,480032,510063,1,2024-03-15 00:00:00,,,,2026-02-24 10:20:31,,,,,,,,central,,,
510012,450043,480033,510065,1,2024-03-15 00:00:00,,,,2026-02-24 10:20:45,,,,,,,,central,,,
510013,450044,480034,510067,1,2024-03-15 00:00:00,,,,2026-02-24 10:20:58,,,,,,,,central,,,
510014,450045,480035,510069,1,2024-03-15 00:00:00,,,,2026-02-24 10:21:35,,,,,,,,central,,,
510015,450046,480036,510071,1,2024-03-15 00:00:00,,,,2026-02-24 10:21:58,,,,,,,,central,,,
510016,450047,480037,510073,1,2024-03-15 00:00:00,,,,2026-02-24 10:22:11,,,,,,,,central,,,
510017,450048,480038,510075,1,2024-03-15 00:00:00,,,,2026-02-24 10:22:35,,,,,,,,central,,,
510021,450049,480039,510077,1,2024-03-15 00:00:00,,,,2026-02-24 11:21:01,,,,,,,,central,,,
510022,450050,480040,510079,1,2024-03-15 00:00:00,,,,2026-02-24 11:33:09,,,,,,,,central,,,
510023,450051,480041,510081,1,2024-03-15 00:00:00,,,,2026-02-24 11:35:20,,,,,,,,central,,,
540004,480001,510001,540001,1,2024-03-15 00:00:00,,,,2026-02-24 13:37:58,,,,,,,,central,,,
540005,480002,510002,540003,1,2024-03-15 00:00:00,,,,2026-02-24 13:38:34,,,,,,,,central,,,
540006,480003,510003,540005,1,2024-03-15 00:00:00,,,,2026-02-24 13:50:54,,,,,,,,central,,,
