id,companyId,nome,ca,validadeCA,fabricante,fornecedor,quantidadeEstoque,createdAt,updatedAt,valor_produto,tempo_minimo_troca,categoria,tamanho,fornecedor_cnpj,fornecedor_contato,fornecedor_telefone,fornecedor_email,fornecedor_endereco,cor_capacete,condicao,vida_util_meses,criado_por,alterado_por
690001,60002,"Luva de segurança confeccionada em vaqueta integral, reforço na palma, com punho confeccionado emraspa. Possui elástico de ajuste na palma.",25387,2027-09-26 00:00:00,VALCAN EPI LTDA,Neobetel,155,2026-02-25 18:44:58,2026-02-26 16:53:52,32.81,60,EPI,,,,,,,,Novo,,,
690002,60002,"Capacete de segurança Tipo II com aba frontal classe B casco com três nervuras, com fendas laterais para acoplagem de acessórios (protetor facial ou auditivo), com suspensão fixa ao casco através de oito pontos de encaixe, regulagem de tamanho através de ajuste simples e tira absorvedora de suor em espuma coberta de material sintético com ou sem jugular ajustável, confeccionada em tira de tecido sintético e fixa na carneira e/ou separada com fechamento simples ou velcro. MARCA: UMP. “ESTE EQUIPAMENTO DEVERÁ APRESENTAR O SELO DE MARCAÇÃO DO INMETRO”.",29738,2026-12-17 00:00:00,ULTRA MASTER PLUG COMERCIO E INDUSTRIA DE EQUIPAMENTOS DE PR,Neobetel,27,2026-02-25 18:46:00,2026-02-26 12:46:03,19.90,365,EPI,,,,,,,Amarelo,Novo,,,
690003,60002,"Capacete de segurança Tipo II com aba frontal classe B casco com três nervuras, com fendas laterais para acoplagem de acessórios (protetor facial ou auditivo), com suspensão fixa ao casco através de oito pontos de encaixe, regulagem de tamanho através de ajuste simples e tira absorvedora de suor em espuma coberta de material sintético com ou sem jugular ajustável, confeccionada em tira de tecido sintético e fixa na carneira e/ou separada com fechamento simples ou velcro. MARCA: UMP. “ESTE EQUIPAMENTO DEVERÁ APRESENTAR O SELO DE MARCAÇÃO DO INMETRO”.",29738,2026-12-17 00:00:00,ULTRA MASTER PLUG COMERCIO E INDUSTRIA DE EQUIPAMENTOS DE PR,Neobetel,22,2026-02-25 18:46:45,2026-02-26 12:45:19,19.90,365,EPI,,,,,,,Azul,Novo,,,
690004,60002,"Calçado ocupacional, tipo botina, com fechamento em elástico nas laterais, confeccionado em couro preto curtido ao cromo, palmilha de montagem em TNT – tecido não tecido resinado na cor branca, costurada pelo processo strobel, forro interno em TNT tecido não tecido na cor cinza, solado em poliuretano bidensidade na cor cinza, injetado diretamente ao cabedal, com resistência ao óleo combustível e a absorção de energia no salto, biqueira em polipropileno.",43377,2028-09-20 00:00:00,MARLUVAS EQUIPAMENTOS DE SEGURANCA LTDA,Neobetel,6,2026-02-25 18:50:30,2026-02-26 12:24:59,62.90,270,Calcado,44,,,,,,,Novo,,,
690005,60002,"Calçado ocupacional, tipo botina, com fechamento em elástico nas laterais, confeccionado em couro preto curtido ao cromo, palmilha de montagem em TNT – tecido não tecido resinado na cor branca, costurada pelo processo strobel, forro interno em TNT tecido não tecido na cor cinza, solado em poliuretano bidensidade na cor cinza, injetado diretamente ao cabedal, com resistência ao óleo combustível e a absorção de energia no salto, biqueira em polipropileno.",43377,2028-09-20 00:00:00,MARLUVAS EQUIPAMENTOS DE SEGURANCA LTDA,Neobetel,6,2026-02-25 18:51:31,2026-02-26 12:26:57,62.90,270,Calcado,43,,,,,,,Novo,,,
690006,60002,"Calçado ocupacional, tipo botina, com fechamento em elástico nas laterais, confeccionado em couro preto curtido ao cromo, palmilha de montagem em TNT – tecido não tecido resinado na cor branca, costurada pelo processo strobel, forro interno em TNT tecido não tecido na cor cinza, solado em poliuretano bidensidade na cor cinza, injetado diretamente ao cabedal, com resistência ao óleo combustível e a absorção de energia no salto, biqueira em polipropileno.",43377,2028-09-20 00:00:00,MARLUVAS EQUIPAMENTOS DE SEGURANCA LTDA,Neobetel,1,2026-02-25 18:52:07,2026-02-26 12:25:25,62.90,270,Calcado,40,,,,,,,Novo,,,
690007,60002,"Calçado ocupacional, tipo botina, com fechamento em elástico nas laterais, confeccionado em couro preto curtido ao cromo, palmilha de montagem em TNT – tecido não tecido resinado na cor branca, costurada pelo processo strobel, forro interno em TNT tecido não tecido na cor cinza, solado em poliuretano bidensidade na cor cinza, injetado diretamente ao cabedal, com resistência ao óleo combustível e a absorção de energia no salto, biqueira em polipropileno.",43377,2028-09-20 00:00:00,MARLUVAS EQUIPAMENTOS DE SEGURANCA LTDA,Neobetel,1,2026-02-25 18:52:46,2026-03-05 16:22:06,62.90,270,Calcado,44,,,,,,,Novo,,,RODNEI ALEXANDRE DOS SANTOS SILVA
690009,60002,"Calçado ocupacional, tipo botina, com fechamento em elástico nas laterais, confeccionado em couro preto curtido ao cromo, palmilha de montagem em TNT – tecido não tecido resinado na cor branca, costurada pelo processo strobel, forro interno em TNT tecido não tecido na cor cinza, solado em poliuretano bidensidade na cor cinza, injetado diretamente ao cabedal, com resistência ao óleo combustível e a absorção de energia no salto, biqueira em polipropileno.",43377,2028-09-20 00:00:00,MARLUVAS EQUIPAMENTOS DE SEGURANCA LTDA,Neobetel,4,2026-02-25 18:54:52,2026-02-26 12:25:53,62.90,,Calcado,38,,,,,,,Novo,,,
690010,60002,"Calçado ocupacional, tipo botina, com fechamento em elástico nas laterais, confeccionado em couro preto curtido ao cromo, palmilha de montagem em TNT – tecido não tecido resinado na cor branca, costurada pelo processo strobel, forro interno em TNT tecido não tecido na cor cinza, solado em poliuretano bidensidade na cor cinza, injetado diretamente ao cabedal, com resistência ao óleo combustível e a absorção de energia no salto, biqueira em polipropileno.",43377,2028-09-20 00:00:00,MARLUVAS EQUIPAMENTOS DE SEGURANCA LTDA,Neobetel,3,2026-02-25 18:55:46,2026-02-26 12:22:10,62.90,270,Calcado,37,25464260000149,Neobetel EPI,,,,,Novo,,,
690011,60002,"Calçado ocupacional, tipo botina, com fechamento em elástico nas laterais, confeccionado em couro preto curtido ao cromo, palmilha de montagem em TNT – tecido não tecido resinado na cor branca, costurada pelo processo strobel, forro interno em TNT tecido não tecido na cor cinza, solado em poliuretano bidensidade na cor cinza, injetado diretamente ao cabedal, com resistência ao óleo combustível e a absorção de energia no salto, biqueira em polipropileno.",43377,2028-09-20 00:00:00,MARLUVAS EQUIPAMENTOS DE SEGURANCA LTDA,Neobetel,1,2026-02-25 18:56:35,2026-02-26 12:26:21,62.90,270,Calcado,46,,,,,,,Novo,,,
690012,60002,"Calçado ocupacional, tipo botina, com fechamento em elástico nas laterais, confeccionado em couro preto curtido ao cromo, palmilha de montagem em TNT – tecido não tecido resinado na cor branca, costurada pelo processo strobel, forro interno em TNT tecido não tecido na cor cinza, solado em poliuretano bidensidade na cor cinza, injetado diretamente ao cabedal, com resistência ao óleo combustível e a absorção de energia no salto, biqueira em polipropileno.",43377,2028-09-20 00:00:00,MARLUVAS EQUIPAMENTOS DE SEGURANCA LTDA,Neobetel,4,2026-02-25 18:58:33,2026-02-26 12:21:21,62.90,270,Calcado,44,,,,,,,Novo,,,
