id,company_id,module_key,enabled,enabled_at,disabled_at,updated_by,created_at,updated_at
1,60002,parceiros,0,2026-03-06 19:28:03,2026-03-06 19:29:30,Felipe Costa Alves,2026-03-01 15:49:15,2026-03-06 19:29:30
30001,60002,avaliacao,0,,2026-03-01 20:02:35,Felipe Costa Alves,2026-03-01 20:02:35,2026-03-01 20:02:35
30002,60002,terceiros,0,2026-03-06 19:28:01,2026-03-06 19:29:31,Felipe Costa Alves,2026-03-01 22:46:02,2026-03-06 19:29:31
60001,60004,parceiros,0,,2026-03-03 09:08:32,Felipe Costa Alves,2026-03-03 09:08:32,2026-03-03 09:08:32
60002,60004,terceiros,0,,2026-03-03 09:08:33,Felipe Costa Alves,2026-03-03 09:08:33,2026-03-03 09:08:33
60003,60004,avaliacao,0,,2026-03-03 09:08:34,Felipe Costa Alves,2026-03-03 09:08:34,2026-03-03 09:08:34
60004,60005,parceiros,0,,2026-03-03 09:08:45,Felipe Costa Alves,2026-03-03 09:08:45,2026-03-03 09:08:45
60005,60005,terceiros,0,,2026-03-03 09:08:45,Felipe Costa Alves,2026-03-03 09:08:45,2026-03-03 09:08:45
60006,60005,avaliacao,0,,2026-03-03 09:08:46,Felipe Costa Alves,2026-03-03 09:08:46,2026-03-03 09:08:46
60007,90001,parceiros,0,,2026-03-03 09:08:52,Felipe Costa Alves,2026-03-03 09:08:52,2026-03-03 09:08:52
60008,90001,terceiros,0,,2026-03-03 09:08:55,Felipe Costa Alves,2026-03-03 09:08:54,2026-03-03 09:08:55
60009,90001,avaliacao,0,,2026-03-03 09:08:56,Felipe Costa Alves,2026-03-03 09:08:56,2026-03-03 09:08:56
