id,companyId,obraId,employeeId,dixiDeviceId,mesAno,horasNormais,horasExtras,horasNoturnas,totalHoras,diasTrabalhados,createdAt,updatedAt
300203,60002,90002,420060,,2025-12,50:31,0:49,0:00,51:20,6,2026-03-03 22:49:34,2026-03-03 22:49:34
300204,60002,90002,420065,,2025-12,34:08,0:15,0:00,34:23,5,2026-03-03 22:49:34,2026-03-03 22:49:34
300205,60002,90002,420072,,2025-12,49:08,0:39,0:00,49:47,6,2026-03-03 22:49:34,2026-03-03 22:49:34
300206,60002,90002,420073,,2025-12,45:08,1:53,0:00,47:01,6,2026-03-03 22:49:34,2026-03-03 22:49:34
300207,60002,90002,420083,,2025-12,44:06,0:38,0:00,44:44,6,2026-03-03 22:49:34,2026-03-03 22:49:34
300208,60002,90002,420095,,2025-12,51:09,0:09,0:00,51:18,6,2026-03-03 22:49:34,2026-03-03 22:49:34
300209,60002,90002,420111,,2025-12,41:53,0:38,0:00,42:31,6,2026-03-03 22:49:34,2026-03-03 22:49:34
300210,60002,90002,420141,,2025-12,53:00,2:01,0:00,55:01,6,2026-03-03 22:49:34,2026-03-03 22:49:34
300211,60002,90002,420145,,2025-12,53:00,0:48,0:00,53:48,6,2026-03-03 22:49:34,2026-03-03 22:49:34
300212,60002,90002,420146,,2025-12,49:07,1:23,0:00,50:30,6,2026-03-03 22:49:34,2026-03-03 22:49:34
300263,60002,90001,420057,,2025-12,59:31,1:47,0:00,61:18,8,2026-03-03 22:49:35,2026-03-03 22:49:35
300264,60002,90001,420064,,2025-12,66:34,8:07,0:00,74:41,9,2026-03-03 22:49:35,2026-03-03 22:49:35
300265,60002,90001,420066,,2025-12,75:45,7:07,0:00,82:52,9,2026-03-03 22:49:35,2026-03-03 22:49:35
300266,60002,90001,420068,,2025-12,72:11,4:11,0:00,76:22,9,2026-03-03 22:49:35,2026-03-03 22:49:35
300267,60002,90001,420078,,2025-12,42:03,1:41,0:00,43:44,6,2026-03-03 22:49:35,2026-03-03 22:49:35
300268,60002,90001,420082,,2025-12,50:55,16:22,0:00,67:17,9,2026-03-03 22:49:35,2026-03-03 22:49:35
300269,60002,90001,420090,,2025-12,75:28,4:03,0:00,79:31,9,2026-03-03 22:49:35,2026-03-03 22:49:35
300270,60002,90001,420092,,2025-12,57:34,2:41,0:00,60:15,9,2026-03-03 22:49:35,2026-03-03 22:49:35
300271,60002,90001,420094,,2025-12,74:10,7:40,0:00,81:50,9,2026-03-03 22:49:35,2026-03-03 22:49:35
300272,60002,90001,420096,,2025-12,0:00,0:00,0:00,0:00,1,2026-03-03 22:49:35,2026-03-03 22:49:35
300273,60002,90001,420105,,2025-12,74:49,2:27,0:00,77:16,9,2026-03-03 22:49:35,2026-03-03 22:49:35
300274,60002,90001,420107,,2025-12,69:50,2:06,0:00,71:56,8,2026-03-03 22:49:35,2026-03-03 22:49:35
300275,60002,90001,420116,,2025-12,25:09,0:00,0:00,25:09,4,2026-03-03 22:49:35,2026-03-03 22:49:35
300276,60002,90001,420117,,2025-12,74:28,1:13,0:00,75:41,9,2026-03-03 22:49:35,2026-03-03 22:49:35
300277,60002,90001,420118,,2025-12,44:32,1:08,0:00,45:40,6,2026-03-03 22:49:35,2026-03-03 22:49:35
300278,60002,90001,420122,,2025-12,72:17,3:06,0:00,75:23,9,2026-03-03 22:49:35,2026-03-03 22:49:35
300279,60002,90001,420125,,2025-12,134:49,5:33,0:00,140:22,17,2026-03-03 22:49:35,2026-03-03 22:49:35
300280,60002,90001,420126,,2025-12,69:11,5:20,0:00,74:31,9,2026-03-03 22:49:35,2026-03-03 22:49:35
300281,60002,90001,420132,,2025-12,71:57,1:35,0:00,73:32,9,2026-03-03 22:49:35,2026-03-03 22:49:35
300282,60002,90001,420133,,2025-12,66:39,3:48,0:00,70:27,9,2026-03-03 22:49:35,2026-03-03 22:49:35
300283,60002,90001,420138,,2025-12,61:16,2:25,0:00,63:41,7,2026-03-03 22:49:35,2026-03-03 22:49:35
300284,60002,90001,420142,,2025-12,44:23,0:47,0:00,45:10,6,2026-03-03 22:49:35,2026-03-03 22:49:35
300285,60002,90001,420147,,2025-12,70:13,2:15,0:00,72:28,8,2026-03-03 22:49:35,2026-03-03 22:49:35
300286,60002,90001,420148,,2025-12,48:10,1:32,0:00,49:42,7,2026-03-03 22:49:35,2026-03-03 22:49:35
300287,60002,90001,420149,,2025-12,51:59,1:22,0:00,53:21,7,2026-03-03 22:49:35,2026-03-03 22:49:35
300288,60002,90001,420150,,2025-12,53:41,0:46,0:00,54:27,8,2026-03-03 22:49:35,2026-03-03 22:49:35
300289,60002,90001,420153,,2025-12,69:12,3:40,0:00,72:52,9,2026-03-03 22:49:35,2026-03-03 22:49:35
300290,60002,90001,420154,,2025-12,67:52,15:38,0:00,83:30,10,2026-03-03 22:49:35,2026-03-03 22:49:35
300291,60002,90001,420156,,2025-12,74:40,1:35,0:00,76:15,9,2026-03-03 22:49:35,2026-03-03 22:49:35
300292,60002,90001,420158,,2025-12,74:57,11:08,0:00,86:05,10,2026-03-03 22:49:35,2026-03-03 22:49:35
