id,companyId,obraId,sn,apelido,status,dataVinculo,dataLiberacao,createdAt,updatedAt
60001,60002,90001,AYSJ31011442,,ativo,2026-02-22 00:00:00,,2026-02-22 22:29:57,2026-02-22 22:39:13
60002,60002,90002,AYSJ14003241,,ativo,2026-02-22 00:00:00,,2026-02-22 22:30:13,2026-02-22 22:39:20
90001,60002,90005,AYSJ14003242,,inativo,2026-02-23 00:00:00,2026-03-10 00:00:00,2026-02-23 19:34:49,2026-03-10 12:42:11
90002,60002,90004,AYTC14025214,,ativo,2026-02-23 00:00:00,,2026-02-23 19:38:27,2026-02-24 00:50:13
90003,60002,120001,AYSJ14003243,,ativo,2026-02-23 00:00:00,,2026-02-23 19:40:56,2026-02-23 22:42:34
120001,60002,,AYTC14025213,,ativo,2026-02-23 00:00:00,,2026-02-23 22:14:04,2026-02-23 22:14:04
120002,60002,,AYSC06018083,,ativo,2026-02-23 00:00:00,,2026-02-23 22:14:09,2026-02-23 22:14:09
120003,60002,,AYSC28028388,,ativo,2026-02-23 00:00:00,,2026-02-23 22:14:15,2026-02-23 22:14:15
150001,60005,270002,AYSJ14003241,,ativo,2026-03-02 00:00:00,,2026-03-02 16:55:02,2026-03-02 16:55:02
150002,60005,270001,AYSJ31011442,,ativo,2026-03-02 00:00:00,,2026-03-02 16:55:20,2026-03-02 16:55:20
150003,60005,270003,AYTC14025214,,ativo,2026-03-02 00:00:00,,2026-03-02 16:56:26,2026-03-02 16:56:26
150004,60005,270005,AYSJ14003242,,ativo,2026-03-02 00:00:00,,2026-03-02 16:59:07,2026-03-02 16:59:07
