id,companyId,nome,codigo,cliente,responsavel,endereco,cidade,estado,cep,dataInicio,dataPrevisaoFim,dataFimReal,status,valorContrato,observacoes,isActive,createdAt,updatedAt,numOrcamento,snRelogioPonto,deletedAt,deletedBy,deletedByUserId,usar_convencao_matriz,convencao_id,convencao_divergencias
60001,60002,QIU 2 - FASE 4,,,,"Rua Antonio França de Souza, 75 - Santa Rita, Aparecida, SP",,,12576-042,2026-02-02 00:00:00,2026-12-01 00:00:00,,Em_Andamento,,,1,2026-02-22 18:26:49,2026-02-22 22:31:05,747,,2026-02-22 22:31:05,Felipe Costa Alves,601043,1,,
60002,60002,HOTEL DO PAPA - AMPLIAÇÃO - 5 PAV,,,,"Avenida Getúlio Vargas, R. Santa Rita, 995, Aparecida - SP,",,,12570-000,2026-02-09 00:00:00,2026-05-31 00:00:00,,Em_Andamento,,,1,2026-02-22 18:35:09,2026-02-22 22:31:02,783,,2026-02-22 22:31:02,Felipe Costa Alves,601043,1,,
60003,60002,LUCIANA - FASE FINAL - BLOCO B,,,,"  RUA JOÃO MARCELINO CAVALHEIRO, 336 – JARDIM DO VALE DOIS GUARATINGUETÁ – SP",,,,2026-02-10 00:00:00,2027-02-01 00:00:00,,Em_Andamento,,,1,2026-02-22 18:36:25,2026-02-22 22:30:58,780,,2026-02-22 22:30:58,Felipe Costa Alves,601043,1,,
60004,60002,UTC - UNIDADE DE COMPOSTAGEM,,,,,,,,2025-06-01 00:00:00,2026-02-17 00:00:00,,Concluida,,,1,2026-02-22 18:38:34,2026-02-22 22:31:00,698,,2026-02-22 22:31:00,Felipe Costa Alves,601043,1,,
60005,60002,CARAMURU - HH,,,,,,,,2026-02-23 00:00:00,2026-04-30 00:00:00,,Em_Andamento,,,1,2026-02-22 18:47:41,2026-02-22 22:31:03,790,,2026-02-22 22:31:03,Felipe Costa Alves,601043,1,,
90001,60002,QIU 2 - FASE 4,,,,"Rua Antonio Franca de Souza, 75 - Santa Rita, Aparecida - SP, ",,,12570-000,2026-02-02 00:00:00,2026-12-01 00:00:00,,Em_Andamento,,,1,2026-02-22 22:33:23,2026-02-22 22:33:23,747,,,,,1,,
90002,60002,LUCIANA - FINAL BLOCO B,,,,"   RUA JOÃO MARCELINO CAVALHEIRO, 336 – JARDIM DO VALE DOIS GUARATINGUETÁ – SP",,,,2026-02-02 00:00:00,2027-02-02 00:00:00,,Em_Andamento,,,1,2026-02-22 22:35:59,2026-02-22 22:35:59,780,,,,,1,,
90003,60002,CARAMURU - HH - CACHOEIRA PAULISTA,,,,Cachoeira Paulista,,,,2026-02-23 00:00:00,2026-04-23 00:00:00,,Em_Andamento,,,1,2026-02-22 22:37:28,2026-02-28 22:22:22,790,,,,,1,,
90004,60002,HOTEL DO PAPA - AMPLIAÇÃO DO 5 PAV,,,,"Avenida Getúlio Vargas, R. Santa Rita, 995, Aparecida - SP",,,,2026-02-09 00:00:00,2026-05-31 00:00:00,,Em_Andamento,,,1,2026-02-22 22:38:33,2026-02-22 22:38:33,783,,,,,1,,
90005,60002,ESCRITÓRIO CENTRAL,,,,"Rua Frei Galvão,30 -  Centro, Guaratinguetá, SP",,,12501-230,2026-01-01 00:00:00,2050-01-01 00:00:00,,Em_Andamento,,,1,2026-02-22 22:40:10,2026-03-11 02:21:35,,,,,,1,,
120001,60002,UTC - UNIDADE DE COMPOSTAGEM,,,,,,,,2025-05-13 00:00:00,2026-02-17 00:00:00,,Em_Andamento,,,1,2026-02-23 19:40:39,2026-02-23 22:41:23,698,,,,,1,,
150001,60002,PALES ,,,,,,,,2025-02-26 00:00:00,2026-03-30 00:00:00,,Concluida,,,1,2026-02-23 22:09:17,2026-03-10 12:40:21,676,,,,,1,,
150002,60002,CASA DO PEQUENO,,,,,,,,2024-07-07 00:00:00,2025-12-17 00:00:00,,Concluida,,,1,2026-02-23 22:10:26,2026-02-23 22:11:44,585,,2026-02-23 22:11:44,Felipe Costa Alves,601043,1,,
150003,60002,TESTE,,,,,,,,,,,Em_Andamento,,,1,2026-02-23 22:15:02,2026-02-25 01:14:09,001,,2026-02-25 01:14:09,Felipe Costa Alves,601043,1,,
180001,60002,IGREJA SANTA RITA ,,,,"Rua Padre Francisco, Santa Rita, Aparecida, SP",,,12576-048,2025-10-01 00:00:00,2026-03-31 00:00:00,,Em_Andamento,,Não há número de orçamento. ,1,2026-02-24 14:02:21,2026-02-24 14:02:21,,,,,,1,,
210001,60002,CHLORUM PE - PLANTA NOVA ,,,,"Avenida Severino Tavares Uchôa, Centro, Igarassu, PE",,,53610-970,2025-12-01 00:00:00,2026-05-01 00:00:00,,Em_Andamento,,,1,2026-02-27 12:15:43,2026-03-01 23:25:58,ORÇ-700-03-2025-R03,,,,,0,30002,
240001,60002,POS OBRA,,,,DIVERSOS,,,,2026-01-01 00:00:00,2026-12-31 00:00:00,,Em_Andamento,,,1,2026-02-28 21:02:24,2026-02-28 21:02:24,,,,,,1,,
240002,60002,CARAMURU -  HH -  ANGRA DOS REIS,,,,"Rodovia Procurador Haroldo Fernandes Duarte, Usina Nuclear (Cunhambebe), Angra dos Reis, RJ",,,23948-000,2026-01-01 00:00:00,2026-05-01 00:00:00,,Em_Andamento,,,1,2026-02-28 21:28:34,2026-02-28 22:09:12,,,,,,1,,
240003,60002,REFORMA ESCRITÓRIO,,,,,,,,,,,Concluida,,,1,2026-02-28 21:34:27,2026-03-11 02:21:52,,,,,,1,,
240004,60002,DEPÓSITO ITAGUAÇU,,,,,,,,2026-01-01 00:00:00,2026-12-31 00:00:00,,Em_Andamento,,,1,2026-02-28 21:44:33,2026-02-28 21:44:33,,,,,,1,,
240005,60002,LOCNOW,,,,,,,,2026-01-01 00:00:00,2026-12-31 00:00:00,,Em_Andamento,,,1,2026-02-28 22:03:40,2026-02-28 22:03:40,,,,,,1,,
270001,60005,QIU 2 - FASE 4,,,,"Rua Antonio Franca de Souza, 75 - Santa Rita, Aparecida - SP",,,12570-000,2026-02-02 00:00:00,2026-12-01 00:00:00,,Em_Andamento,,,1,2026-03-02 16:52:11,2026-03-02 16:52:11,747,,,,,1,,
270002,60005,LUCIANA - FINAL BLOCO B,,,," RUA JOÃO MARCELINO CAVALHEIRO, 336 – JARDIM DO VALE DOIS GUARATINGUETÁ – SP",,,,2026-02-02 00:00:00,2027-02-02 00:00:00,,Em_Andamento,,,1,2026-03-02 16:55:02,2026-03-02 16:55:02,780,,,,,1,,
270003,60005,HOTEL DO PAPA - AMPLIAÇÃO DO 5 PAV,,,,"Avenida Getúlio Vargas, R. Santa Rita, 995, Aparecida - SP",,,,2026-02-09 00:00:00,2026-05-31 00:00:00,,Em_Andamento,,,1,2026-03-02 16:56:26,2026-03-02 16:56:26,783,,,,,1,,
