id,profileId,module,canView,canCreate,canEdit,canDelete,createdAt
1,1,core_rh,1,1,1,0,2026-02-22 18:44:11
2,1,sst,1,1,1,0,2026-02-22 18:44:11
3,1,ativos,1,1,1,0,2026-02-22 18:44:11
4,1,auditoria,0,0,0,0,2026-02-22 18:44:11
5,1,cipa,0,0,0,0,2026-02-22 18:44:11
6,1,ponto_folha,1,1,1,0,2026-02-22 18:44:11
7,1,avaliacao,0,0,0,0,2026-02-22 18:44:11
8,1,usuarios,0,0,0,0,2026-02-22 18:44:11
9,1,dashboards,1,0,0,0,2026-02-22 18:44:11
10,1,empresas,0,0,0,0,2026-02-22 18:44:11
11,1,auditoria_sistema,0,0,0,0,2026-02-22 18:44:11
30001,30001,core_rh,1,1,1,0,2026-02-23 22:04:17
30002,30001,sst,1,1,1,0,2026-02-23 22:04:17
30003,30001,ativos,1,1,1,0,2026-02-23 22:04:17
30004,30001,auditoria,0,0,0,0,2026-02-23 22:04:17
30005,30001,cipa,0,0,0,0,2026-02-23 22:04:17
30006,30001,ponto_folha,1,1,1,0,2026-02-23 22:04:17
30007,30001,avaliacao,0,0,0,0,2026-02-23 22:04:17
30008,30001,usuarios,0,0,0,0,2026-02-23 22:04:17
30009,30001,dashboards,1,0,0,0,2026-02-23 22:04:17
30010,30001,empresas,0,0,0,0,2026-02-23 22:04:17
30011,30001,auditoria_sistema,0,0,0,0,2026-02-23 22:04:17
30012,30002,core_rh,1,1,1,0,2026-02-23 22:04:26
30013,30002,sst,1,1,1,0,2026-02-23 22:04:26
30014,30002,ativos,1,1,1,0,2026-02-23 22:04:26
30015,30002,auditoria,0,0,0,0,2026-02-23 22:04:26
30016,30002,cipa,0,0,0,0,2026-02-23 22:04:26
30017,30002,ponto_folha,1,1,1,0,2026-02-23 22:04:26
30018,30002,avaliacao,0,0,0,0,2026-02-23 22:04:26
30019,30002,usuarios,0,0,0,0,2026-02-23 22:04:26
30020,30002,dashboards,1,0,0,0,2026-02-23 22:04:26
30021,30002,empresas,0,0,0,0,2026-02-23 22:04:26
30022,30002,auditoria_sistema,0,0,0,0,2026-02-23 22:04:26
