id,companyId,nome,descricao,isActive,createdAt,updatedAt,deletedAt,deletedBy,deletedByUserId
1,60002,Financeiro,,1,2026-02-21 01:03:14,2026-02-21 01:03:14,,,
2,60002,OBRA,,1,2026-02-21 01:03:26,2026-02-21 03:28:55,,,
3,60002,Rh,,1,2026-02-21 01:03:35,2026-02-21 01:03:35,,,
4,60002,Planejamento,,1,2026-02-21 02:42:03,2026-02-21 02:42:03,,,
6,60002,Orçamento,,1,2026-02-21 03:06:12,2026-02-21 03:06:12,,,
7,60002,Comercial,,1,2026-02-21 03:06:24,2026-02-21 03:06:24,,,
8,60002,Projetos,,1,2026-02-21 03:06:31,2026-02-21 03:06:31,,,
9,60002,Pós - Obra,,1,2026-02-21 03:06:47,2026-02-21 03:07:11,,,
10,60002,Diretoria,,1,2026-02-21 03:07:21,2026-02-21 03:07:21,,,
11,60002,ESCRITORIO CENTRAL,,1,2026-02-21 03:29:09,2026-02-21 03:29:09,,,
12,60002,ESCRITORIO LOCAL,,1,2026-02-21 03:29:19,2026-02-21 03:29:19,,,
30001,60005,FINANCEIRO ,,1,2026-03-02 17:31:54,2026-03-02 17:31:54,,,
30002,60005,OBRA ,,1,2026-03-02 17:32:02,2026-03-02 17:32:02,,,
30003,60005,DIRETORIA,,1,2026-03-02 17:32:09,2026-03-02 17:32:09,,,
30004,60005,SUPRIMENTOS,,1,2026-03-02 17:49:34,2026-03-02 17:49:34,,,
