id,companyId,categoria,chave,valor,descricao,valorPadraoClt,unidade,atualizadoPor,createdAt,updatedAt
1,60002,horas_extras,he_dias_uteis,60,Percentual de hora extra em dias úteis,50,%,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:47:26
2,60002,horas_extras,he_domingos_feriados,100,Percentual de hora extra em domingos e feriados,100,%,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
3,60002,horas_extras,he_adicional_noturno,20,Percentual de adicional noturno,20,%,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
4,60002,horas_extras,he_noturno_inicio,22:00,Início do horário noturno,22:00,hora,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
5,60002,horas_extras,he_noturno_fim,05:00,Fim do horário noturno,05:00,hora,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
6,60002,horas_extras,he_interjornada,50,Percentual de hora extra interjornada,50,%,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
7,60002,horas_extras,he_limite_mensal,44,Limite máximo de horas extras mensais,44,horas,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
8,60002,horas_extras,he_banco_horas,0,"Empresa utiliza banco de horas (0=Não, 1=Sim)",0,bool,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
9,60002,jornada,jornada_horas_diarias,8,Horas diárias padrão de trabalho,8,horas,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
10,60002,jornada,jornada_horas_semanais,44,Horas semanais padrão,44,horas,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
11,60002,jornada,jornada_intervalo_almoco,60,Intervalo mínimo para almoço,60,min,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
12,60002,jornada,jornada_descanso_semanal,1,Dias de descanso semanal remunerado,1,dias,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
13,60002,jornada,jornada_sabado_tipo,compensado,"Tipo de sábado (compensado, meio_periodo, normal, folga)",compensado,tipo,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
14,60002,ponto,ponto_tolerancia_atraso,10,Tolerância de atraso na entrada (minutos),10,min,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
15,60002,ponto,ponto_tolerancia_saida,10,Tolerância de saída antecipada (minutos),10,min,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
16,60002,ponto,ponto_batida_impar_tolerancia,30,Tolerância para batida ímpar (minutos),30,min,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
17,60002,ponto,ponto_falta_apos_atraso,120,Considerar falta após X minutos de atraso,120,min,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
18,60002,ponto,ponto_hora_noturna_reduzida,52:30,Duração da hora noturna reduzida (mm:ss),52:30,mm:ss,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
19,60002,folha,folha_dia_vale,20,Dia do mês para pagamento do vale,20,dia,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
20,60002,folha,folha_dia_pagamento,5,Dia útil para pagamento do salário,5,dia_util,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
21,60002,folha,folha_percentual_adiantamento,40,Percentual do salário para adiantamento,40,%,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
22,60002,folha,folha_desconto_vr_faltas,1,"Descontar VR nos dias de falta (0=Não, 1=Sim)",1,bool,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
23,60002,folha,folha_desconto_vt_faltas,1,"Descontar VT nos dias de falta (0=Não, 1=Sim)",1,bool,Felipe Alves,2026-02-22 00:44:41,2026-02-22 00:44:41
24,60002,advertencias,adv_qtd_para_suspensao,3,Advertências para gerar suspensão,3,qtd,Felipe Costa Alves,2026-02-22 00:44:41,2026-03-03 09:11:09
25,60002,advertencias,adv_dias_suspensao,3,Dias de suspensão padrão,3,dias,Felipe Costa Alves,2026-02-22 00:44:41,2026-03-03 09:11:09
26,60002,advertencias,adv_suspensoes_para_justa_causa,3,Suspensões para justa causa,3,qtd,Felipe Costa Alves,2026-02-22 00:44:41,2026-03-03 09:11:09
27,60002,advertencias,adv_validade_meses,6,Validade da advertência em meses,6,meses,Felipe Costa Alves,2026-02-22 00:44:42,2026-03-03 09:11:09
28,60002,beneficios,ben_vr_valor_diario,0,Valor diário do VR/VA (R$),0,R$,Felipe Alves,2026-02-22 00:44:42,2026-02-22 00:44:42
29,60002,beneficios,ben_vt_percentual_desconto,6,Percentual de desconto do VT,6,%,Felipe Alves,2026-02-22 00:44:42,2026-02-22 00:44:42
30,60002,beneficios,ben_dias_uteis_mes,22,Dias úteis padrão por mês,22,dias,Felipe Alves,2026-02-22 00:44:42,2026-02-22 00:44:42
31,60002,ferias,ferias_periodo_aquisitivo,12,Meses para período aquisitivo,12,meses,Felipe Alves,2026-02-22 00:44:42,2026-02-22 00:44:42
32,60002,ferias,ferias_dias_direito,30,Dias de férias por período,30,dias,Felipe Alves,2026-02-22 00:44:42,2026-02-22 00:44:42
33,60002,ferias,ferias_abono_pecuniario,1,"Permitir venda de 1/3 (0=Não, 1=Sim)",1,bool,Felipe Alves,2026-02-22 00:44:42,2026-02-22 00:44:42
34,60002,ferias,ferias_adicional_terco,33.33,Adicional de 1/3 de férias (%),33.33,%,Felipe Alves,2026-02-22 00:44:42,2026-02-22 00:44:42
35,60002,rescisao,rescisao_aviso_previo_dias,30,Dias de aviso prévio base,30,dias,Felipe Alves,2026-02-22 00:44:42,2026-02-22 00:44:42
36,60002,rescisao,rescisao_aviso_adicional_ano,3,Dias adicionais por ano trabalhado,3,dias,Felipe Alves,2026-02-22 00:44:42,2026-02-22 00:44:42
37,60002,rescisao,rescisao_multa_fgts,40,Multa sobre FGTS na demissão sem justa causa,40,%,Felipe Alves,2026-02-22 00:44:42,2026-02-22 00:44:42
30001,60002,folha,folha_bloquear_consolidacao_inconsistencias,0,"Bloquear consolidação com inconsistências pendentes (0=Não, 1=Sim)",1,bool,Ana Beatriz  Silva Conceição,2026-02-22 15:12:20,2026-02-23 20:05:40
60001,60004,horas_extras,he_dias_uteis,50,Percentual de hora extra em dias úteis,50,%,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60002,60004,horas_extras,he_domingos_feriados,100,Percentual de hora extra em domingos e feriados,100,%,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60003,60004,horas_extras,he_adicional_noturno,20,Percentual de adicional noturno,20,%,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60004,60004,horas_extras,he_noturno_inicio,22:00,Início do horário noturno,22:00,hora,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60005,60004,horas_extras,he_noturno_fim,05:00,Fim do horário noturno,05:00,hora,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60006,60004,horas_extras,he_interjornada,50,Percentual de hora extra interjornada,50,%,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60007,60004,horas_extras,he_limite_mensal,44,Limite máximo de horas extras mensais,44,horas,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60008,60004,horas_extras,he_banco_horas,0,"Empresa utiliza banco de horas (0=Não, 1=Sim)",0,bool,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60009,60004,jornada,jornada_horas_diarias,8,Horas diárias padrão de trabalho,8,horas,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60010,60004,jornada,jornada_horas_semanais,44,Horas semanais padrão,44,horas,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60011,60004,jornada,jornada_intervalo_almoco,60,Intervalo mínimo para almoço,60,min,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60012,60004,jornada,jornada_descanso_semanal,1,Dias de descanso semanal remunerado,1,dias,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60013,60004,jornada,jornada_sabado_tipo,compensado,"Tipo de sábado (compensado, meio_periodo, normal, folga)",compensado,tipo,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60014,60004,ponto,ponto_tolerancia_atraso,10,Tolerância de atraso na entrada (minutos),10,min,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60015,60004,ponto,ponto_tolerancia_saida,10,Tolerância de saída antecipada (minutos),10,min,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60016,60004,ponto,ponto_batida_impar_tolerancia,30,Tolerância para batida ímpar (minutos),30,min,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60017,60004,ponto,ponto_falta_apos_atraso,120,Considerar falta após X minutos de atraso,120,min,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60018,60004,ponto,ponto_hora_noturna_reduzida,52:30,Duração da hora noturna reduzida (mm:ss),52:30,mm:ss,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60019,60004,folha,folha_dia_vale,20,Dia do mês para pagamento do vale,20,dia,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60020,60004,folha,folha_dia_pagamento,5,Dia útil para pagamento do salário,5,dia_util,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60021,60004,folha,folha_percentual_adiantamento,40,Percentual do salário para adiantamento,40,%,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60022,60004,folha,folha_desconto_vr_faltas,1,"Descontar VR nos dias de falta (0=Não, 1=Sim)",1,bool,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60023,60004,folha,folha_desconto_vt_faltas,1,"Descontar VT nos dias de falta (0=Não, 1=Sim)",1,bool,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60024,60004,advertencias,adv_qtd_para_suspensao,3,Advertências para gerar suspensão,3,qtd,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60025,60004,advertencias,adv_dias_suspensao,3,Dias de suspensão padrão,3,dias,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60026,60004,advertencias,adv_suspensoes_para_justa_causa,3,Suspensões para justa causa,3,qtd,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60027,60004,advertencias,adv_validade_meses,6,Validade da advertência em meses,6,meses,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60028,60004,beneficios,ben_vr_valor_diario,0,Valor diário do VR/VA (R$),0,R$,Felipe Alves,2026-02-22 23:07:13,2026-02-22 23:07:13
60029,60004,beneficios,ben_vt_percentual_desconto,6,Percentual de desconto do VT,6,%,Felipe Alves,2026-02-22 23:07:14,2026-02-22 23:07:14
