id,user_id,module_id,feature_key,can_access,created_at
55,1530049,rh-dp,colaboradores,1,2026-02-26 12:02:52
56,1530049,rh-dp,fechamento-ponto,1,2026-02-26 12:02:52
57,1530049,rh-dp,folha-pagamento,1,2026-02-26 12:02:52
58,1530049,rh-dp,controle-documentos,1,2026-02-26 12:02:52
59,1530049,rh-dp,vale-alimentacao,1,2026-02-26 12:02:52
60,1530049,rh-dp,ferias,1,2026-02-26 12:02:52
61,1530049,rh-dp,aviso-previo,1,2026-02-26 12:02:52
62,1530049,rh-dp,dissidio,1,2026-02-26 12:02:52
63,1530049,rh-dp,modulo-pj,1,2026-02-26 12:02:52
64,1530049,rh-dp,solicitacao-he,1,2026-02-26 12:02:52
65,1530049,rh-dp,dixi-ponto,1,2026-02-26 12:02:52
66,1530049,rh-dp,contas-bancarias,1,2026-02-26 12:02:52
67,1530049,rh-dp,feriados,1,2026-02-26 12:02:52
68,1530049,rh-dp,relogios-ponto,1,2026-02-26 12:02:52
69,1530049,sst,epis,1,2026-02-26 12:02:52
70,1530049,sst,cipa,1,2026-02-26 12:02:52
71,1530049,sst,controle-documentos-sst,1,2026-02-26 12:02:52
72,1530049,juridico,processos-trabalhistas,1,2026-02-26 12:02:52
30019,2101624,rh-dp,colaboradores,0,2026-02-26 20:17:27
30020,2101624,rh-dp,fechamento-ponto,0,2026-02-26 20:17:27
30021,2101624,rh-dp,folha-pagamento,0,2026-02-26 20:17:27
30022,2101624,rh-dp,controle-documentos,0,2026-02-26 20:17:27
30023,2101624,rh-dp,vale-alimentacao,0,2026-02-26 20:17:27
30024,2101624,rh-dp,ferias,0,2026-02-26 20:17:27
30025,2101624,rh-dp,aviso-previo,1,2026-02-26 20:17:27
30026,2101624,rh-dp,dissidio,0,2026-02-26 20:17:27
30027,2101624,rh-dp,modulo-pj,0,2026-02-26 20:17:27
30028,2101624,rh-dp,solicitacao-he,1,2026-02-26 20:17:27
30029,2101624,rh-dp,dixi-ponto,0,2026-02-26 20:17:27
30030,2101624,rh-dp,contas-bancarias,0,2026-02-26 20:17:27
30031,2101624,rh-dp,feriados,1,2026-02-26 20:17:27
30032,2101624,rh-dp,relogios-ponto,0,2026-02-26 20:17:27
30033,2101624,sst,epis,1,2026-02-26 20:17:27
30034,2101624,sst,cipa,0,2026-02-26 20:17:27
30035,2101624,sst,controle-documentos-sst,0,2026-02-26 20:17:27
30036,2101624,juridico,processos-trabalhistas,0,2026-02-26 20:17:27
30055,2101666,rh-dp,colaboradores,0,2026-02-26 20:19:38
30056,2101666,rh-dp,fechamento-ponto,0,2026-02-26 20:19:38
30057,2101666,rh-dp,folha-pagamento,0,2026-02-26 20:19:38
30058,2101666,rh-dp,controle-documentos,0,2026-02-26 20:19:38
30059,2101666,rh-dp,vale-alimentacao,0,2026-02-26 20:19:38
30060,2101666,rh-dp,ferias,0,2026-02-26 20:19:38
30061,2101666,rh-dp,aviso-previo,1,2026-02-26 20:19:38
30062,2101666,rh-dp,dissidio,0,2026-02-26 20:19:38
30063,2101666,rh-dp,modulo-pj,0,2026-02-26 20:19:38
30064,2101666,rh-dp,solicitacao-he,1,2026-02-26 20:19:38
30065,2101666,rh-dp,dixi-ponto,0,2026-02-26 20:19:38
30066,2101666,rh-dp,contas-bancarias,0,2026-02-26 20:19:38
30067,2101666,rh-dp,feriados,1,2026-02-26 20:19:38
30068,2101666,rh-dp,relogios-ponto,0,2026-02-26 20:19:38
30069,2101666,sst,epis,1,2026-02-26 20:19:38
30070,2101666,sst,cipa,1,2026-02-26 20:19:38
30071,2101666,sst,controle-documentos-sst,1,2026-02-26 20:19:38
30072,2101666,juridico,processos-trabalhistas,0,2026-02-26 20:19:38
30073,2101678,rh-dp,colaboradores,0,2026-02-26 20:20:20
30074,2101678,rh-dp,fechamento-ponto,0,2026-02-26 20:20:20
30075,2101678,rh-dp,folha-pagamento,0,2026-02-26 20:20:20
30076,2101678,rh-dp,controle-documentos,0,2026-02-26 20:20:20
30077,2101678,rh-dp,vale-alimentacao,0,2026-02-26 20:20:20
30078,2101678,rh-dp,ferias,0,2026-02-26 20:20:20
30079,2101678,rh-dp,aviso-previo,1,2026-02-26 20:20:20
30080,2101678,rh-dp,dissidio,0,2026-02-26 20:20:20
30081,2101678,rh-dp,modulo-pj,0,2026-02-26 20:20:20
30082,2101678,rh-dp,solicitacao-he,1,2026-02-26 20:20:20
30083,2101678,rh-dp,dixi-ponto,0,2026-02-26 20:20:20
30084,2101678,rh-dp,contas-bancarias,0,2026-02-26 20:20:20
30085,2101678,rh-dp,feriados,1,2026-02-26 20:20:20
30086,2101678,rh-dp,relogios-ponto,0,2026-02-26 20:20:20
30087,2101678,sst,epis,1,2026-02-26 20:20:20
30088,2101678,sst,cipa,1,2026-02-26 20:20:20
30089,2101678,sst,controle-documentos-sst,1,2026-02-26 20:20:20
30090,2101678,juridico,processos-trabalhistas,0,2026-02-26 20:20:20
30091,2101735,rh-dp,colaboradores,0,2026-02-26 20:22:29
30092,2101735,rh-dp,fechamento-ponto,0,2026-02-26 20:22:29
30093,2101735,rh-dp,folha-pagamento,0,2026-02-26 20:22:29
30094,2101735,rh-dp,controle-documentos,0,2026-02-26 20:22:29
30095,2101735,rh-dp,vale-alimentacao,0,2026-02-26 20:22:29
30096,2101735,rh-dp,ferias,0,2026-02-26 20:22:29
30097,2101735,rh-dp,aviso-previo,1,2026-02-26 20:22:29
30098,2101735,rh-dp,dissidio,0,2026-02-26 20:22:29
30099,2101735,rh-dp,modulo-pj,0,2026-02-26 20:22:29
30100,2101735,rh-dp,solicitacao-he,1,2026-02-26 20:22:29
30101,2101735,rh-dp,dixi-ponto,0,2026-02-26 20:22:29
30102,2101735,rh-dp,contas-bancarias,0,2026-02-26 20:22:29
30103,2101735,rh-dp,feriados,1,2026-02-26 20:22:29
30104,2101735,rh-dp,relogios-ponto,0,2026-02-26 20:22:29
30105,2101735,sst,epis,1,2026-02-26 20:22:29
30106,2101735,sst,cipa,1,2026-02-26 20:22:29
30107,2101735,sst,controle-documentos-sst,1,2026-02-26 20:22:29
30108,2101735,juridico,processos-trabalhistas,0,2026-02-26 20:22:29
30109,2101743,rh-dp,colaboradores,0,2026-02-26 20:23:05
30110,2101743,rh-dp,fechamento-ponto,0,2026-02-26 20:23:05
30111,2101743,rh-dp,folha-pagamento,0,2026-02-26 20:23:05
30112,2101743,rh-dp,controle-documentos,0,2026-02-26 20:23:05
30113,2101743,rh-dp,vale-alimentacao,0,2026-02-26 20:23:05
30114,2101743,rh-dp,ferias,0,2026-02-26 20:23:05
30115,2101743,rh-dp,aviso-previo,1,2026-02-26 20:23:05
30116,2101743,rh-dp,dissidio,0,2026-02-26 20:23:05
30117,2101743,rh-dp,modulo-pj,0,2026-02-26 20:23:05
30118,2101743,rh-dp,solicitacao-he,1,2026-02-26 20:23:05
30119,2101743,rh-dp,dixi-ponto,0,2026-02-26 20:23:05
30120,2101743,rh-dp,contas-bancarias,0,2026-02-26 20:23:05
30121,2101743,rh-dp,feriados,1,2026-02-26 20:23:05
30122,2101743,rh-dp,relogios-ponto,0,2026-02-26 20:23:05
30123,2101743,sst,epis,1,2026-02-26 20:23:05
30124,2101743,sst,cipa,1,2026-02-26 20:23:05
30125,2101743,sst,controle-documentos-sst,1,2026-02-26 20:23:05
30126,2101743,juridico,processos-trabalhistas,0,2026-02-26 20:23:05
90001,990252,rh-dp,colaboradores,1,2026-03-01 20:04:51
90002,990252,rh-dp,fechamento-ponto,1,2026-03-01 20:04:51
90003,990252,rh-dp,folha-pagamento,1,2026-03-01 20:04:51
90004,990252,rh-dp,controle-documentos,1,2026-03-01 20:04:51
90005,990252,rh-dp,vale-alimentacao,1,2026-03-01 20:04:51
90006,990252,rh-dp,ferias,1,2026-03-01 20:04:51
90007,990252,rh-dp,aviso-previo,1,2026-03-01 20:04:51
90008,990252,rh-dp,dissidio,1,2026-03-01 20:04:51
90009,990252,rh-dp,modulo-pj,1,2026-03-01 20:04:51
90010,990252,rh-dp,solicitacao-he,1,2026-03-01 20:04:51
90011,990252,rh-dp,dixi-ponto,1,2026-03-01 20:04:51
90012,990252,rh-dp,contas-bancarias,1,2026-03-01 20:04:51
90013,990252,rh-dp,feriados,1,2026-03-01 20:04:51
90014,990252,rh-dp,relogios-ponto,1,2026-03-01 20:04:51
90015,990252,rh-dp,crachas-rh,0,2026-03-01 20:04:51
90016,990252,sst,epis,1,2026-03-01 20:04:51
90017,990252,sst,cipa,1,2026-03-01 20:04:51
90018,990252,sst,controle-documentos-sst,1,2026-03-01 20:04:51
90019,990252,juridico,processos-trabalhistas,1,2026-03-01 20:04:51
90020,990252,terceiros,terceiros-painel,0,2026-03-01 20:04:51
90021,990252,terceiros,terceiros-empresas,0,2026-03-01 20:04:51
90022,990252,terceiros,terceiros-funcionarios,0,2026-03-01 20:04:51
90023,990252,terceiros,terceiros-obrigacoes,0,2026-03-01 20:04:51
90024,990252,terceiros,terceiros-conformidade,0,2026-03-01 20:04:51
90025,990252,terceiros,terceiros-alertas,0,2026-03-01 20:04:51
90026,990252,terceiros,terceiros-aprovacao,0,2026-03-01 20:04:51
90027,990252,terceiros,terceiros-portal,0,2026-03-01 20:04:51
90028,990252,terceiros,terceiros-crachas,0,2026-03-01 20:04:51
90029,990252,parceiros,parceiros-painel,0,2026-03-01 20:04:51
90030,990252,parceiros,parceiros-cadastro,0,2026-03-01 20:04:51
90031,990252,parceiros,parceiros-lancamentos,0,2026-03-01 20:04:51
90032,990252,parceiros,parceiros-aprovacoes,0,2026-03-01 20:04:51
90033,990252,parceiros,parceiros-guia-descontos,0,2026-03-01 20:04:51
90034,990252,parceiros,parceiros-pagamentos,0,2026-03-01 20:04:51
