Nº Cheque;Banco;Fornecedor;Obra;NF;Parcela;Vencimento;Valor
901551;CAIXA ECONOMICA;ANDORRA;;;4/4;15/01/2023;22548,44
901551;CAIXA ECONOMICA;ANDORRA;;;4/4;15/01/2023;22548,44
901513;CAIXA ECONOMICA;NOVA ENGENHARIA;;;5/6;17/01/2023;10833,33
901513;CAIXA ECONOMICA;NOVA ENGENHARIA;;;5/6;17/01/2023;10833,33
901578;CAIXA ECONOMICA;CS COMERCIAL;;;6/12;21/01/2023;5000,00
901578;CAIXA ECONOMICA;CS COMERCIAL;;;6/12;21/01/2023;5000,00
902328;CAIXA ECONOMICA;JAZIEL;;;1/5;22/01/2023;14462,96
902328;CAIXA ECONOMICA;JAZIEL;;;1/5;22/01/2023;14462,96
901695;CAIXA ECONOMICA;JAZIEL;;;1/2;25/01/2023;6214,66
901695;CAIXA ECONOMICA;JAZIEL;;;1/2;25/01/2023;6214,66
902222;CAIXA ECONOMICA;DECORWATTS;;;6/10;28/01/2023;12468,06
902222;CAIXA ECONOMICA;DECORWATTS;;;6/10;28/01/2023;12468,06
901541;CAIXA ECONOMICA;JAZIEL;;;5/6;30/01/2023;17476,48
901541;CAIXA ECONOMICA;JAZIEL;;;5/6;30/01/2023;17476,48
902176;CAIXA ECONOMICA;JAZIEL;;;4/6;31/01/2023;8802,54
902176;CAIXA ECONOMICA;JAZIEL;;;4/6;31/01/2023;8802,54
901594;CAIXA ECONOMICA;AUTO LED;;;4/4;01/02/2023;3745,44
901594;CAIXA ECONOMICA;AUTO LED;;;4/4;01/02/2023;3745,44
901487;CAIXA ECONOMICA;JAZIEL;;;6/6;10/02/2023;10489,36
901487;CAIXA ECONOMICA;JAZIEL;;;6/6;10/02/2023;10489,36
901723;CAIXA ECONOMICA;JCL COMERCIO;;;2/3;11/02/2023;1011,55
901723;CAIXA ECONOMICA;JCL COMERCIO;;;2/3;11/02/2023;1011,55
902378;CAIXA ECONOMICA;AUTO LED;;;1/3;19/02/2023;1015,55
902378;CAIXA ECONOMICA;AUTO LED;;;1/3;19/02/2023;1015,55
901580;CAIXA ECONOMICA;CS COMERCIAL;;;8/12;21/02/2023;5000,00
901580;CAIXA ECONOMICA;CS COMERCIAL;;;8/12;21/02/2023;5000,00
902157;CAIXA ECONOMICA;CS COMERCIAL;;;9/12;27/02/2023;11666,50
902157;CAIXA ECONOMICA;CS COMERCIAL;;;9/12;27/02/2023;11666,50
901542;CAIXA ECONOMICA;JAZIEL;;;6/6;28/02/2023;17476,48
901542;CAIXA ECONOMICA;JAZIEL;;;6/6;28/02/2023;17476,48
901887;CAIXA ECONOMICA;ALAN;;;1/1;03/03/2023;2000,00
901887;CAIXA ECONOMICA;ALAN;;;1/1;03/03/2023;2000,00
901799;CAIXA ECONOMICA;JAZIEL;;;1/6;06/03/2023;7129,48
901799;CAIXA ECONOMICA;JAZIEL;;;1/6;06/03/2023;7129,48
901766;CAIXA ECONOMICA;ANDORRA;;;3/12;12/03/2023;6397,74
901766;CAIXA ECONOMICA;ANDORRA;;;3/12;12/03/2023;6397,74
902158;CAIXA ECONOMICA;CS COMERCIAL;;;10/12;12/03/2023;11666,50
902158;CAIXA ECONOMICA;CS COMERCIAL;;;10/12;12/03/2023;11666,50
902225;CAIXA ECONOMICA;DECORWATTS;;;9/10;14/03/2023;12468,06
902225;CAIXA ECONOMICA;DECORWATTS;;;9/10;14/03/2023;12468,06
901689;CAIXA ECONOMICA;JAZIEL;;;4/7;16/03/2023;6497,14
901689;CAIXA ECONOMICA;JAZIEL;;;4/7;16/03/2023;6497,14
901840;CAIXA ECONOMICA;RENATO GARCIA;;;2/2;17/03/2023;2700,00
901840;CAIXA ECONOMICA;RENATO GARCIA;;;2/2;17/03/2023;2700,00
901581;CAIXA ECONOMICA;CS COMERCIAL;;;9/12;21/03/2023;5000,00
901581;CAIXA ECONOMICA;CS COMERCIAL;;;9/12;21/03/2023;5000,00
902330;CAIXA ECONOMICA;JAZIEL;;;3/5;22/03/2023;14462,96
902330;CAIXA ECONOMICA;JAZIEL;;;3/5;22/03/2023;14462,96
902245;CAIXA ECONOMICA;ELETROGUARA;;;4/4;23/03/2023;845,42
902245;CAIXA ECONOMICA;ELETROGUARA;;;4/4;23/03/2023;845,42
901506;CAIXA ECONOMICA;ANDORRA;;;7/8;24/03/2023;17628,48
901506;CAIXA ECONOMICA;ANDORRA;;;7/8;24/03/2023;17628,48
902478;CAIXA ECONOMICA;MARMORIA JARDIM;;;1/1;24/03/2023;1004,00
902478;CAIXA ECONOMICA;MARMORIA JARDIM;;;1/1;24/03/2023;1004,00
902247;CAIXA ECONOMICA;ABC DA COSNTRUÇÃO;;;2/2;25/03/2023;978,12
902247;CAIXA ECONOMICA;ABC DA COSNTRUÇÃO;;;2/2;25/03/2023;978,12
901674;CAIXA ECONOMICA;MARMORARIA MINAS PISOS;;;5/6;26/03/2023;8666,67
901674;CAIXA ECONOMICA;MARMORARIA MINAS PISOS;;;5/6;26/03/2023;8666,67
902159;CAIXA ECONOMICA;CS COMERCIAL;;;11/12;27/03/2023;11666,50
902159;CAIXA ECONOMICA;CS COMERCIAL;;;11/12;27/03/2023;11666,50
