codigo_interno,nome,unidade,quantidade_atual,tipo_controle,categoria,empresa
MAT-0001,Desmoldante para Concreto Revestido Vedacit,L,1.000,estoque,material,CF HOTELARIA LTDA
MAT-0002,Parafusadeira/Furadeira de Impacto a Bateria Brushless INGCO 20V,un,1.000,estoque,material,CF HOTELARIA LTDA
MAT-0001,Carrinho de Mão,un,10.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0002,SERRA COPO DIAMANTE 25MM,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0003,PC CIMENTO CIMENTO CP3,sc,80.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0004,KIT BACIA PISO ACOPLAD MONOCRÔ RAVENA-BR/MONOCROMATICA RAVENA-BRANCO NT BACIA PISO ACOPLAD MONOCRO RAVENA-BR,pç,121.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0005,KIT BACIA P/CX ACOPLAD MONOCRO RAVENA - BRANCA/MONOCROMATICA RAVENA - KIT BACIA P/CX ACOPL MONOCRO RAVENA-BR,pç,242.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0006,BROCA ESCALONADA BESTFER 4 A 3 - REF: BFH1852,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0007,[15.06.01.01] Bacia com Caixa Acoplada Ravena Braco - P.909.17 - Deca,un,40.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0008,[15.05.01.01] Bacia com Caixa Acoplada Ravena Braco - P.909.17 - Deca,un,52.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0009,Bacia com Caixa Acoplada Ravena Braco - P.909.17 - Deca [15.02.01.01],un,37.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0010,Bacia com Caixa Acoplada Ravena Braco - P.909.17 - Deca [15.03.01.01],un,37.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0011,Bacia com Caixa Acoplada Ravena Braco - P.909.17 - Deca [15.04.01.01],un,37.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0012,Bacia com Caixa Acoplada Ravena Braco - P.909.17 - Deca [15.05.01.01],un,37.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
